width,length,depth,longitude,latitude
0.145937635,3.899532108,2.939431539,-87.623493,41.839562
2.161786231,2.774030811,2.203339281,-87.623323,41.834369
4.050932232,0.296205305,1.794277539,-87.623149,41.826807
4.152900671,3.968292038,0.761872562,-87.622886,41.811191
4.611185369,1.500148105,1.044198321,-87.622518,41.796652
2.045269962,4.709152479,1.508645384,-87.620521,41.718658
4.301046695,2.216576689,0.99401909,-87.566558,41.770241
0.729252659,2.461205188,2.682403625,-87.552698,41.756313
4.339717773,2.145050207,0.923405736,-87.565472,41.766314
3.975457782,2.223317085,1.043211481,-87.62733,41.863436
0.550449044,4.16396045,2.26038296,-87.626128,41.810903
4.691845402,1.22122978,0.758175326,-87.625634,41.792077
3.795510134,3.578400727,0.599237254,-87.62526,41.777072
0.071212818,0.796742891,3.094473798,-87.624736,41.757046
2.448920654,4.769123059,0.875863495,-87.624391,41.745812
0.366212906,4.349103317,2.037362681,-87.623913,41.728281
2.17530608,0.066777266,2.076638282,-87.623646,41.713246
1.141209281,3.497115067,1.757084162,-87.631785,41.853156
0.527651083,2.672767202,2.184743069,-87.629987,41.773651
4.510943285,0.9830277,0.595511498,-87.628638,41.720659
4.357932294,0.277292972,0.844010239,-87.67584,41.831501
1.640937063,1.323767576,1.835309983,-87.633392,41.853553
0.968365634,2.67598367,1.8492471,-87.714468,41.807818
3.052245018,2.979074411,0.569547971,-87.64032,41.849975
0.018057571,4.341399564,1.813418276,-87.669954,41.835106
4.227947271,1.404208988,0.28243746,-87.666676,41.876934
0.679376351,2.736594274,1.659590278,-87.66656,41.872567
4.712960376,0.65644422,0.022926276,-87.666256,41.861874
0.015948602,1.64607277,2.205974433,-87.664267,41.781444
1.360838642,1.542826387,1.52660355,-87.66412,41.775834
2.407440447,2.885591896,0.549737991,-87.663752,41.763965
1.898518518,2.101825578,1.006724539,-87.663608,41.757724
1.619323081,1.63622333,1.121716919,-87.663314,41.745469
4.113866351,0.36268093,0.099746315,-87.662994,41.733288
2.429405966,2.119291082,0.3705732,-87.630632,41.873009
3.191238642,0.099960013,0.029819844,-87.630511,41.869893
1.428429614,2.437532172,0.173669426,-87.630255,41.861478
1.019020325,2.686654202,0.235193608,-87.630176,41.855964
1.235602397,1.896041605,0.248933687,-87.630093,41.853467
1.128793888,2.288814405,0.217871422,-87.647091,41.87346
0.930641109,0.137522068,0.304165892,-87.646862,41.865313
