date_of_count,id,latitude,location,longitude,street,total_passing_vehicle_volume,traffic_volume_count_location_address,vehicle_volume_by_each_direction_of_traffic
2006-03-07T02:00:00.000,13,41.718183,"{'type': 'Point', 'coordinates': [-87.551016, 41.718183]}",-87.551016,Commercial Ave,9000,9730 South,North Bound: 4000 / South Bound: 5000
2006-03-30T02:00:00.000,14,41.820171,"{'type': 'Point', 'coordinates': [-87.606798, 41.820171]}",-87.606798,Cottage Grove Ave,10800,4107 South,North Bound: 5600 / South Bound: 5200
2006-03-01T02:00:00.000,15,41.807987,"{'type': 'Point', 'coordinates': [-87.606532, 41.807987]}",-87.606532,Cottage Grove Ave,14200,4750 South,North Bound: 7000 / South Bound: 7200
2006-02-01T02:00:00.000,16,41.797881,"{'type': 'Point', 'coordinates': [-87.606302, 41.797881]}",-87.606302,Cottage Grove Ave,13700,5325 South,North Bound: 7200 / South Bound: 6500
2006-03-01T02:00:00.000,17,41.78269,"{'type': 'Point', 'coordinates': [-87.605979, 41.78269]}",-87.605979,Cottage Grove Ave,20900,6144 South,North Bound: 10300 / South Bound: 10600
2006-03-01T02:00:00.000,18,41.775779,"{'type': 'Point', 'coordinates': [-87.605826, 41.775779]}",-87.60582600000001,Cottage Grove Ave,19100,6533 South,North Bound: 9800 / South Bound: 9300
2006-02-01T02:00:00.000,19,41.770685,"{'type': 'Point', 'coordinates': [-87.605711, 41.770685]}",-87.605711,Cottage Grove Ave,21700,6820 South,North Bound: 10300 / South Bound: 11400
2006-03-01T02:00:00.000,20,41.760801,"{'type': 'Point', 'coordinates': [-87.605452, 41.760801]}",-87.605452,Cottage Grove Ave,17800,7346 South,North Bound: 8700 / South Bound: 9100
2006-03-01T02:00:00.000,21,41.734790999999994,"{'type': 'Point', 'coordinates': [-87.604779, 41.734791]}",-87.60477900000001,Cottage Grove Ave,22400,8800 South,North Bound: 11100 / South Bound: 11300
2006-03-02T02:00:00.000,23,41.710922,"{'type': 'Point', 'coordinates': [-87.60573, 41.710922]}",-87.60573000000001,Cottage Grove Ave,12500,10101 South,North Bound: 5800 / South Bound: 6700
2006-03-02T02:00:00.000,24,41.859378,"{'type': 'Point', 'coordinates': [-87.676043, 41.859378]}",-87.676043,Damen Ave,18800,1603 South,North Bound: 9600 / South Bound: 9200
2006-03-02T02:00:00.000,25,41.854926,"{'type': 'Point', 'coordinates': [-87.67592, 41.854926]}",-87.67591999999999,Damen Ave,15300,1959 South,North Bound: 7700 / South Bound: 7600
2006-03-02T02:00:00.000,26,41.850395,"{'type': 'Point', 'coordinates': [-87.67579, 41.850395]}",-87.67579,Damen Ave,14800,2259 South,North Bound: 8000 / South Bound: 6800
2006-05-09T02:00:00.000,27,41.844875,"{'type': 'Point', 'coordinates': [-87.675652, 41.844875]}",-87.675652,Damen Ave,28000,2566 South,North Bound: 13800 / South Bound: 14200
2006-03-02T02:00:00.000,28,41.830389000000004,"{'type': 'Point', 'coordinates': [-87.675279, 41.830389]}",-87.675279,Damen Ave,8100,3460 South,North Bound: 3800 / South Bound: 4300
2006-03-01T02:00:00.000,29,41.827625,"{'type': 'Point', 'coordinates': [-87.675208, 41.827625]}",-87.675208,Damen Ave,7000,3630 South,North Bound: 3200 / South Bound: 3800
2006-03-09T02:00:00.000,31,41.803740999999995,"{'type': 'Point', 'coordinates': [-87.674569, 41.803741]}",-87.67456899999999,Damen Ave,10900,4936 South,North Bound: 5900 / South Bound: 5000
2006-03-09T02:00:00.000,32,41.785746,"{'type': 'Point', 'coordinates': [-87.674075, 41.785746]}",-87.674075,Damen Ave,14900,5929 South,North Bound: 7600 / South Bound: 7300
2006-03-02T02:00:00.000,33,41.770409,"{'type': 'Point', 'coordinates': [-87.673671, 41.770409]}",-87.673671,Damen Ave,16600,6755 South,North Bound: 7900 / South Bound: 8700
2006-03-02T02:00:00.000,34,41.757363,"{'type': 'Point', 'coordinates': [-87.673336, 41.757363]}",-87.67333599999999,Damen Ave,12300,7509 South,North Bound: 5600 / South Bound: 6700
2006-03-14T02:00:00.000,36,41.838419,"{'type': 'Point', 'coordinates': [-87.617465, 41.838419]}",-87.617465,Dr Martin Luther King Jr Dr,19900,3030 South,North Bound: 10000 / South Bound: 9900
2006-03-02T02:00:00.000,37,41.825982,"{'type': 'Point', 'coordinates': [-87.617039, 41.825982]}",-87.617039,Dr Martin Luther King Jr Dr,15600,3748 South,North Bound: 7300 / South Bound: 8300
2006-03-02T02:00:00.000,38,41.814852,"{'type': 'Point', 'coordinates': [-87.616741, 41.814852]}",-87.616741,Dr Martin Luther King Jr Dr,14500,4358 South,North Bound: 6600 / South Bound: 7900
2006-03-07T02:00:00.000,82,41.833661,"{'type': 'Point', 'coordinates': [-87.626468, 41.833661]}",-87.626468,State St,10100,3333 South,North Bound: 6700 / South Bound: 3400
2006-02-28T02:00:00.000,39,41.795094,"{'type': 'Point', 'coordinates': [-87.615989, 41.795094]}",-87.615989,Dr Martin Luther King Jr Dr,11800,5450 South,North Bound: 5600 / South Bound: 6200
2006-02-28T02:00:00.000,41,41.754187,"{'type': 'Point', 'coordinates': [-87.615027, 41.754187]}",-87.615027,Dr Martin Luther King Jr Dr,16700,7718 South,North Bound: 7900 / South Bound: 8800
2006-02-28T02:00:00.000,42,41.726239,"{'type': 'Point', 'coordinates': [-87.614254, 41.726239]}",-87.614254,Dr Martin Luther King Jr Dr,15500,9243 South,North Bound: 7800 / South Bound: 7700
2006-02-28T02:00:00.000,43,41.706494,"{'type': 'Point', 'coordinates': [-87.613745, 41.706494]}",-87.613745,Dr Martin Luther King Jr Dr,11100,10326 South,North Bound: 5300 / South Bound: 5800
2006-03-07T02:00:00.000,44,41.755798,"{'type': 'Point', 'coordinates': [-87.55646, 41.755798]}",-87.55646,Exchange Ave,8300,7669 South,North Bound: 3900 / South Bound: 4400
2006-03-07T02:00:00.000,45,41.7504,"{'type': 'Point', 'coordinates': [-87.5528, 41.7504]}",-87.5528,Exchange Ave,7400,7952 South,North Bound: 3500 / South Bound: 3900
2006-05-02T02:00:00.000,47,41.863938,"{'type': 'Point', 'coordinates': [-87.622471, 41.863938]}",-87.62247099999999,Indiana Ave,8300,1407 South,North Bound: 4900 / South Bound: 3400
2006-03-02T02:00:00.000,48,41.85566,"{'type': 'Point', 'coordinates': [-87.62228, 41.85566]}",-87.62228,Indiana Ave,6100,1933 South,North Bound: 3800 / South Bound: 2300
2006-05-02T02:00:00.000,52,41.832167,"{'type': 'Point', 'coordinates': [-87.621788, 41.832167]}",-87.621788,Indiana Ave,7400,3420 South,North Bound: 7400 / / Oneway North Bound
2006-03-02T02:00:00.000,53,41.828022,"{'type': 'Point', 'coordinates': [-87.621694, 41.828022]}",-87.62169399999999,Indiana Ave,6000,3654 South,North Bound: 6000 / / Oneway North Bound
2006-03-02T02:00:00.000,55,41.787779,"{'type': 'Point', 'coordinates': [-87.620665, 41.787779]}",-87.620665,Indiana Ave,4400,5848 South,North Bound: 4400 / / Oneway North Bound
2006-05-11T02:00:00.000,56,41.707611,"{'type': 'Point', 'coordinates': [-87.529702, 41.707611]}",-87.529702,Indianapolis Ave,38500,10320 South,North Bound: 19200 / South Bound: 19300
2006-03-08T02:00:00.000,57,41.775215,"{'type': 'Point', 'coordinates': [-87.575158, 41.775215]}",-87.575158,Jeffery Blvd,21200,6602 South,North Bound: 10600 / South Bound: 10600
2006-05-04T02:00:00.000,58,41.770379999999996,"{'type': 'Point', 'coordinates': [-87.576414, 41.77038]}",-87.576414,Jeffery Blvd,23700,6841 South,North Bound: 11300 / South Bound: 12400
2006-05-04T02:00:00.000,60,41.761454,"{'type': 'Point', 'coordinates': [-87.576196, 41.761454]}",-87.576196,Jeffery Blvd,24300,7335 South,North Bound: 11200 / South Bound: 13100
2006-03-08T02:00:00.000,61,41.747152,"{'type': 'Point', 'coordinates': [-87.575902, 41.747152]}",-87.575902,Jeffery Blvd,13400,8127 South,North Bound: 6500 / South Bound: 6900
2006-05-04T02:00:00.000,62,41.737902000000005,"{'type': 'Point', 'coordinates': [-87.575714, 41.737902]}",-87.575714,Jeffery Blvd,19300,8645 South,North Bound: 9300 / South Bound: 10000
2006-03-29T02:00:00.000,63,41.739269,"{'type': 'Point', 'coordinates': [-87.575753, 41.739269]}",-87.575753,Jeffery Blvd,12400,8547 South,North Bound: 5700 / South Bound: 6700
2006-05-04T02:00:00.000,64,41.719732,"{'type': 'Point', 'coordinates': [-87.57529, 41.719732]}",-87.57529,Jeffery Ave,7700,9633 South,North Bound: 4100 / South Bound: 3600
2006-05-02T02:00:00.000,65,41.760689,"{'type': 'Point', 'coordinates': [-87.615174, 41.760689]}",-87.615174,Dr Martin Luther King Jr Dr,18900,7345 South,North Bound: 9400 / South Bound: 9500
2006-05-02T02:00:00.000,66,41.849344,"{'type': 'Point', 'coordinates': [-87.618459, 41.849344]}",-87.618459,Dr Martin Luther King Jr Dr,18100,2350 South,North Bound: 10700 / South Bound: 7400
2006-03-08T02:00:00.000,67,41.797367,"{'type': 'Point', 'coordinates': [-87.587322, 41.797367]}",-87.587322,Lake Park Ave,18200,5424 South,North Bound: 8900 / South Bound: 9300
2006-03-02T02:00:00.000,68,41.865924,"{'type': 'Point', 'coordinates': [-87.624115, 41.865924]}",-87.624115,Michigan Ave,20600,1255 South,North Bound: 11200 / South Bound: 9400
2006-03-02T02:00:00.000,69,41.850595,"{'type': 'Point', 'coordinates': [-87.623745, 41.850595]}",-87.623745,Michigan Ave,13000,2317 South,North Bound: 5800 / South Bound: 7200
2006-03-02T02:00:00.000,70,41.839562,"{'type': 'Point', 'coordinates': [-87.623493, 41.839562]}",-87.62349300000001,Michigan Ave,13200,2950 South,North Bound: 5100 / South Bound: 8100
2006-03-02T02:00:00.000,71,41.834369,"{'type': 'Point', 'coordinates': [-87.623323, 41.834369]}",-87.623323,Michigan Ave,8100,3311 South,South Bound: 8100/ Oneway South Bound
2006-03-02T02:00:00.000,72,41.826807,"{'type': 'Point', 'coordinates': [-87.623149, 41.826807]}",-87.623149,Michigan Ave,8000,3721 South,South Bound: 8000/ Oneway South Bound
2006-03-02T02:00:00.000,73,41.811191,"{'type': 'Point', 'coordinates': [-87.622886, 41.811191]}",-87.622886,Michigan Ave,7900,4563 South,South Bound: 7900/ Oneway South Bound
2006-03-02T02:00:00.000,74,41.796652,"{'type': 'Point', 'coordinates': [-87.622518, 41.796652]}",-87.622518,Michigan Ave,7900,5352 South,South Bound: 7900/ Oneway South Bound
2006-03-15T02:00:00.000,75,41.718658000000005,"{'type': 'Point', 'coordinates': [-87.620521, 41.718658]}",-87.620521,Michigan Ave,8100,9642 South,North Bound: 3600 / South Bound: 4500
2006-03-09T02:00:00.000,77,41.770241,"{'type': 'Point', 'coordinates': [-87.566558, 41.770241]}",-87.566558,South Shore Dr,35100,6848 South,North Bound: 17900 / South Bound: 17200
2006-03-09T02:00:00.000,78,41.756313,"{'type': 'Point', 'coordinates': [-87.552698, 41.756313]}",-87.55269799999999,South Shore Dr,16400,7732 South,North Bound: 8100 / South Bound: 8300
2006-03-09T02:00:00.000,79,41.766314,"{'type': 'Point', 'coordinates': [-87.565472, 41.766314]}",-87.565472,South Shore Dr,17300,2425 East,North Bound: 8600 / South Bound: 8700
2006-05-02T02:00:00.000,81,41.863436,"{'type': 'Point', 'coordinates': [-87.62733, 41.863436]}",-87.62733,State St,23100,1420 South,North Bound: 13500 / South Bound: 9600
2006-05-02T02:00:00.000,83,41.810903,"{'type': 'Point', 'coordinates': [-87.626128, 41.810903]}",-87.62612800000001,State St,21500,4605 South,North Bound: 11200 / South Bound: 10300
2006-03-07T02:00:00.000,84,41.792077,"{'type': 'Point', 'coordinates': [-87.625634, 41.792077]}",-87.62563399999999,State St,16100,5625 South,North Bound: 8800 / South Bound: 7300
2006-05-02T02:00:00.000,85,41.777072,"{'type': 'Point', 'coordinates': [-87.62526, 41.777072]}",-87.62526,State St,19300,6416 South,North Bound: 8800 / South Bound: 10500
2006-03-28T02:00:00.000,86,41.757046,"{'type': 'Point', 'coordinates': [-87.624736, 41.757046]}",-87.624736,State St,12500,7539 South,North Bound: 12500 / / Oneway North Bound
2006-05-02T02:00:00.000,87,41.745812,"{'type': 'Point', 'coordinates': [-87.624391, 41.745812]}",-87.624391,State St,7500,8149 South,North Bound: 7500 / / Oneway North Bound
2006-03-08T02:00:00.000,88,41.728281,"{'type': 'Point', 'coordinates': [-87.623913, 41.728281]}",-87.623913,State St,4900,9124 South,North Bound: 4900 / / Oneway North Bound
2006-05-02T02:00:00.000,89,41.713246000000005,"{'type': 'Point', 'coordinates': [-87.623646, 41.713246]}",-87.623646,State St,7300,9940 South,North Bound: 4400 / South Bound: 2900
2006-03-07T02:00:00.000,90,41.853156,"{'type': 'Point', 'coordinates': [-87.631785, 41.853156]}",-87.631785,Wentworth Ave,4500,2130 South,North Bound: 2300 / South Bound: 2200
2006-03-07T02:00:00.000,91,41.773651,"{'type': 'Point', 'coordinates': [-87.629987, 41.773651]}",-87.629987,Wentworth Ave,7100,6629 South,North Bound: 2800 / South Bound: 4300
2006-03-08T02:00:00.000,92,41.720659000000005,"{'type': 'Point', 'coordinates': [-87.628638, 41.720659]}",-87.628638,Wentworth Ave,4900,9532 South,North Bound: 2800 / South Bound: 2100
2006-03-08T02:00:00.000,93,41.831501,"{'type': 'Point', 'coordinates': [-87.67584, 41.831501]}",-87.67584000000001,Archer Ave,23400,3430 South,North Bound: 11300 / South Bound: 12100
2006-03-08T02:00:00.000,94,41.853553000000005,"{'type': 'Point', 'coordinates': [-87.633392, 41.853553]}",-87.633392,Archer Ave,11800,2140 South,North Bound: 5200 / South Bound: 6600
2006-03-08T02:00:00.000,95,41.807818,"{'type': 'Point', 'coordinates': [-87.714468, 41.807818]}",-87.71446800000001,Archer Ave,27800,4709 South,North Bound: 13600 / South Bound: 14200
2006-03-08T02:00:00.000,96,41.849975,"{'type': 'Point', 'coordinates': [-87.64032, 41.849975]}",-87.64031999999999,Archer Ave,13300,2345 South,North Bound: 7100 / South Bound: 6200
2006-03-08T02:00:00.000,97,41.835106,"{'type': 'Point', 'coordinates': [-87.669954, 41.835106]}",-87.669954,Archer Ave,15100,3247 South,North Bound: 8200 / South Bound: 6900
2006-03-21T02:00:00.000,98,41.876934000000006,"{'type': 'Point', 'coordinates': [-87.666676, 41.876934]}",-87.666676,Ashland Ave,29300,320 South,North Bound: 15200 / South Bound: 14100
2006-03-21T02:00:00.000,99,41.872567,"{'type': 'Point', 'coordinates': [-87.66656, 41.872567]}",-87.66656,Ashland Ave,38700,711 South,North Bound: 21100 / South Bound: 17600
2006-03-21T02:00:00.000,100,41.861874,"{'type': 'Point', 'coordinates': [-87.666256, 41.861874]}",-87.666256,Ashland Ave,38300,1447 South,North Bound: 19800 / South Bound: 18500
2006-03-14T02:00:00.000,103,41.781444,"{'type': 'Point', 'coordinates': [-87.664267, 41.781444]}",-87.66426700000001,Ashland Ave,23500,6154 South,North Bound: 11800 / South Bound: 11700
2006-03-21T02:00:00.000,104,41.775834,"{'type': 'Point', 'coordinates': [-87.66412, 41.775834]}",-87.66412,Ashland Ave,27100,6480 South,North Bound: 14000 / South Bound: 13100
2006-03-21T02:00:00.000,105,41.763965,"{'type': 'Point', 'coordinates': [-87.663752, 41.763965]}",-87.663752,Ashland Ave,35000,7132 South,North Bound: 16500 / South Bound: 18500
2006-03-21T02:00:00.000,106,41.757723999999996,"{'type': 'Point', 'coordinates': [-87.663608, 41.757724]}",-87.663608,Ashland Ave,26300,7500 South,North Bound: 12800 / South Bound: 13500
2006-03-14T02:00:00.000,107,41.745469,"{'type': 'Point', 'coordinates': [-87.663314, 41.745469]}",-87.663314,Ashland Ave,26300,8140 South,North Bound: 13600 / South Bound: 12700
2006-03-14T02:00:00.000,108,41.733288,"{'type': 'Point', 'coordinates': [-87.662994, 41.733288]}",-87.662994,Ashland Ave,27800,8822 South,North Bound: 15200 / South Bound: 12600
2006-03-15T02:00:00.000,109,41.873009,"{'type': 'Point', 'coordinates': [-87.630632, 41.873009]}",-87.63063199999999,Clark St,13600,719 South,North Bound: 6500 / South Bound: 7100
2006-03-22T02:00:00.000,110,41.869893,"{'type': 'Point', 'coordinates': [-87.630511, 41.869893]}",-87.630511,Clark St,22600,996 South,North Bound: 12500 / South Bound: 10100
2006-03-22T02:00:00.000,111,41.861478000000005,"{'type': 'Point', 'coordinates': [-87.630255, 41.861478]}",-87.630255,Clark St,23000,1515 South,North Bound: 12700 / South Bound: 10300
2006-03-15T02:00:00.000,112,41.855964,"{'type': 'Point', 'coordinates': [-87.630176, 41.855964]}",-87.630176,Clark St,14800,1918 South,North Bound: 8500 / South Bound: 6300
2006-03-15T02:00:00.000,113,41.853466999999995,"{'type': 'Point', 'coordinates': [-87.630093, 41.853467]}",-87.630093,Clark St,12800,2123 South,North Bound: 7300 / South Bound: 5500
2006-03-21T02:00:00.000,114,41.873459999999994,"{'type': 'Point', 'coordinates': [-87.647091, 41.87346]}",-87.647091,Halsted St,15600,700 South,North Bound: 6700 / South Bound: 8900
2006-03-21T02:00:00.000,115,41.865313,"{'type': 'Point', 'coordinates': [-87.646862, 41.865313]}",-87.646862,Halsted St,13400,1302 South,North Bound: 5900 / South Bound: 7500
2006-03-21T02:00:00.000,116,41.829513,"{'type': 'Point', 'coordinates': [-87.646078, 41.829513]}",-87.646078,Halsted St,15300,3541 South,North Bound: 7900 / South Bound: 7400
2006-03-15T02:00:00.000,117,41.796465999999995,"{'type': 'Point', 'coordinates': [-87.645213, 41.796466]}",-87.645213,Halsted St,15000,5348 South,North Bound: 7700 / South Bound: 7300
2006-03-21T02:00:00.000,118,41.78453,"{'type': 'Point', 'coordinates': [-87.644905, 41.78453]}",-87.64490500000001,Halsted St,13200,6020 South,North Bound: 6900 / South Bound: 6300
2006-03-21T02:00:00.000,119,41.771775,"{'type': 'Point', 'coordinates': [-87.644579, 41.771775]}",-87.64457900000001,Halsted St,13500,6722 South,North Bound: 7600 / South Bound: 5900
2006-03-21T02:00:00.000,120,41.760683,"{'type': 'Point', 'coordinates': [-87.644298, 41.760683]}",-87.64429799999999,Halsted St,16700,7328 South,North Bound: 8800 / South Bound: 7900
2006-03-21T02:00:00.000,121,41.735001000000004,"{'type': 'Point', 'coordinates': [-87.643587, 41.735001]}",-87.643587,Halsted St,30900,8728 South,North Bound: 16500 / South Bound: 14400
2006-03-21T02:00:00.000,122,41.719968,"{'type': 'Point', 'coordinates': [-87.643173, 41.719968]}",-87.643173,Halsted St,37900,9550 South,North Bound: 20800 / South Bound: 17100
2006-03-29T02:00:00.000,124,41.75002,"{'type': 'Point', 'coordinates': [-87.634415, 41.75002]}",-87.634415,Vincennes Ave,21200,7925 South,North Bound: 9700 / South Bound: 11500
2006-03-21T02:00:00.000,125,41.731171,"{'type': 'Point', 'coordinates': [-87.647028, 41.731171]}",-87.647028,Vincennes Ave,16300,8940 South,North Bound: 8800 / South Bound: 7500
2006-03-21T02:00:00.000,126,41.720797999999995,"{'type': 'Point', 'coordinates': [-87.650838, 41.720798]}",-87.65083800000001,Vincennes Ave,12500,9520 South,North Bound: 6300 / South Bound: 6200
2006-03-21T02:00:00.000,127,41.710702000000005,"{'type': 'Point', 'coordinates': [-87.654574, 41.710702]}",-87.654574,Vincennes Ave,13700,10122 South,North Bound: 6400 / South Bound: 7300
2006-03-21T02:00:00.000,129,41.698034,"{'type': 'Point', 'coordinates': [-87.65927, 41.698034]}",-87.65926999999999,Vincennes Ave,18000,10748 South,North Bound: 8800 / South Bound: 9200
2006-03-22T02:00:00.000,130,41.872427,"{'type': 'Point', 'coordinates': [-87.686197, 41.872427]}",-87.68619699999999,Western Ave,29500,721 South,North Bound: 14900 / South Bound: 14600
2006-03-14T02:00:00.000,131,41.847006,"{'type': 'Point', 'coordinates': [-87.685499, 41.847006]}",-87.685499,Western Ave,25500,2446 South,North Bound: 12800 / South Bound: 12700
2006-03-22T02:00:00.000,132,41.834882,"{'type': 'Point', 'coordinates': [-87.684561, 41.834882]}",-87.684561,Western Ave,35300,3225 South,North Bound: 18100 / South Bound: 17200
2006-03-14T02:00:00.000,133,41.820278,"{'type': 'Point', 'coordinates': [-87.684745, 41.820278]}",-87.68474499999999,Western Ave,25600,4028 South,North Bound: 12900 / South Bound: 12700
2006-03-23T02:00:00.000,135,41.772490000000005,"{'type': 'Point', 'coordinates': [-87.683456, 41.77249]}",-87.683456,Western Ave,39100,6642 South,North Bound: 20500 / South Bound: 18600
2006-03-23T02:00:00.000,136,41.761813000000004,"{'type': 'Point', 'coordinates': [-87.683164, 41.761813]}",-87.683164,Western Ave,40500,7234 South,North Bound: 20300 / South Bound: 20200
2006-03-14T02:00:00.000,137,41.756743,"{'type': 'Point', 'coordinates': [-87.683025, 41.756743]}",-87.683025,Western Ave,27300,7521 South,North Bound: 14100 / South Bound: 13200
2006-03-14T02:00:00.000,138,41.730457,"{'type': 'Point', 'coordinates': [-87.682356, 41.730457]}",-87.682356,Western Ave,30800,8941 South,North Bound: 15000 / South Bound: 15800
2006-03-23T02:00:00.000,139,41.712676,"{'type': 'Point', 'coordinates': [-87.68181, 41.712676]}",-87.68181,Western Ave,35700,9933 South,North Bound: 17600 / South Bound: 18100
2006-03-23T02:00:00.000,141,41.699963000000004,"{'type': 'Point', 'coordinates': [-87.681415, 41.699963]}",-87.681415,Western Ave,36600,10630 South,North Bound: 18500 / South Bound: 18100
2006-03-23T02:00:00.000,142,41.79459,"{'type': 'Point', 'coordinates': [-87.684058, 41.79459]}",-87.684058,Western Blvd,20100,5420 South,North Bound: 10300 / South Bound: 9800
2006-03-09T02:00:00.000,143,41.71675,"{'type': 'Point', 'coordinates': [-87.585043, 41.71675]}",-87.585043,Stony Island Ave,43500,9750 South,North Bound: 22600 / South Bound: 20900
2006-03-14T02:00:00.000,144,41.755119,"{'type': 'Point', 'coordinates': [-87.586125, 41.755119]}",-87.586125,Stony Island Ave,72900,7648 South,North Bound: 38900 / South Bound: 34000
2006-03-14T02:00:00.000,145,41.740553000000006,"{'type': 'Point', 'coordinates': [-87.58573, 41.740553]}",-87.58573,Stony Island Ave,61500,8450 South,North Bound: 31300 / South Bound: 30200
2006-03-09T02:00:00.000,146,41.724123999999996,"{'type': 'Point', 'coordinates': [-87.585159, 41.724124]}",-87.58515899999999,Stony Island Ave,47900,9348 South,North Bound: 24300 / South Bound: 23600
2007-04-04T02:00:00.000,147,41.745515000000005,"{'type': 'Point', 'coordinates': [-87.585819, 41.745515]}",-87.585819,Stony Island Ave,61600,8216 South,North Bound: 32800 / South Bound: 28800
2006-03-14T02:00:00.000,148,41.769698,"{'type': 'Point', 'coordinates': [-87.586238, 41.769698]}",-87.586238,Stony Island Ave,52500,6840 South,North Bound: 24700 / South Bound: 27800
2006-03-14T02:00:00.000,149,41.792127,"{'type': 'Point', 'coordinates': [-87.586689, 41.792127]}",-87.586689,Stony Island Ave,12500,5640 South,North Bound: 6600 / South Bound: 5900
2006-05-04T02:00:00.000,150,41.72824,"{'type': 'Point', 'coordinates': [-87.552415, 41.72824]}",-87.552415,92nd St,41300,2936 East,East Bound: 3700 / West Bound: 37600
2006-05-05T02:00:00.000,151,41.728253,"{'type': 'Point', 'coordinates': [-87.550704, 41.728253]}",-87.55070400000001,92nd St,28500,3010 East,East Bound: 2100 / West Bound: 26400
2006-03-21T02:00:00.000,152,41.714033,"{'type': 'Point', 'coordinates': [-87.657301, 41.714033]}",-87.657301,99th Street,12800,1354 West,East Bound: 4400 / West Bound: 8400
2006-03-21T02:00:00.000,153,41.713939,"{'type': 'Point', 'coordinates': [-87.664213, 41.713939]}",-87.664213,99th Street,11300,1620 West,East Bound: 4200 / West Bound: 7100
2006-05-04T02:00:00.000,154,41.713352,"{'type': 'Point', 'coordinates': [-87.558074, 41.713352]}",-87.558074,100th St,11000,2701 East,East Bound: 5400 / West Bound: 5600
2006-05-04T02:00:00.000,155,41.713772,"{'type': 'Point', 'coordinates': [-87.54362, 41.713772]}",-87.54361999999999,100th St,12800,3250 East,East Bound: 7300 / West Bound: 5500
2006-03-21T02:00:00.000,156,41.720702,"{'type': 'Point', 'coordinates': [-87.536499, 41.720702]}",-87.53649899999999,Avenue L,5000,9621 South,North Bound: 3200 / South Bound: 1800
2006-03-21T02:00:00.000,157,41.711118,"{'type': 'Point', 'coordinates': [-87.536485, 41.711118]}",-87.536485,Avenue L,4200,10129 South,North Bound: 2100 / South Bound: 2100
2006-05-09T02:00:00.000,158,41.719205,"{'type': 'Point', 'coordinates': [-87.662247, 41.719205]}",-87.662247,Beverly Ave,20300,9604 South,North Bound: 10100 / South Bound: 10200
2006-03-21T02:00:00.000,159,41.713044000000004,"{'type': 'Point', 'coordinates': [-87.668914, 41.713044]}",-87.668914,Longwood Dr,5300,9927 South,North Bound: 2700 / South Bound: 2600
2006-05-04T02:00:00.000,160,41.729262,"{'type': 'Point', 'coordinates': [-87.541841, 41.729262]}",-87.541841,Harbor Ave,2500,9150 South,North Bound: 1100 / South Bound: 1400
2006-05-04T02:00:00.000,161,41.732853999999996,"{'type': 'Point', 'coordinates': [-87.542962, 41.732854]}",-87.542962,Mackinaw Ave,13800,8930 South,North Bound: 5800 / South Bound: 8000
2006-03-28T02:00:00.000,162,41.764222,"{'type': 'Point', 'coordinates': [-87.566483, 41.764222]}",-87.56648299999999,Yates Blvd,12500,7206 South,North Bound: 6300 / South Bound: 6200
2006-03-28T02:00:00.000,163,41.779224,"{'type': 'Point', 'coordinates': [-87.680473, 41.779224]}",-87.68047299999999,63rd Street,18000,2237 West,East Bound: 8700 / West Bound: 9300
